event_id,user_id,timestamp,ip_address,country,city,device_id,login_result,is_anomaly,anomaly_type,hour_of_day,day_of_week,time_since_last_login,new_device_flag,location_frequency,distance_from_last_login,travel_speed,ip_change_count
1,1,2024-01-21 11:00:00,63.114.71.52,UK,London,Chrome,success,0,normal,11,6,0.0,1,0,0.0,0.0,1.0
2,1,2024-01-21 20:00:00,63.114.71.52,UK,London,Safari,success,0,normal,20,6,32400.0,1,1,0.0,0.0,1.0
3,1,2024-01-22 04:00:00,63.114.71.52,France,Lyon,Safari,success,0,normal,4,0,28800.0,0,0,735.0482559319656,91.8810319914957,1.0
4,1,2024-01-22 10:00:00,63.114.71.52,UK,London,Safari,success,0,normal,10,0,21600.0,0,2,735.0482559319656,122.5080426553276,1.0
5,1,2024-01-22 11:00:00,63.114.71.52,UK,London,Safari,success,0,normal,11,0,3600.0,0,3,0.0,0.0,1.0
6,1,2024-01-22 22:00:00,63.114.71.52,UK,London,Safari,success,0,normal,22,0,39600.0,0,4,0.0,0.0,0.0
7,1,2024-01-23 02:00:00,63.114.71.52,UK,London,Safari,success,0,normal,2,1,14400.0,0,5,0.0,0.0,0.0
8,1,2024-01-23 10:00:00,63.114.71.52,UK,London,Safari,success,0,normal,10,1,28800.0,0,6,0.0,0.0,0.0
9,1,2024-01-23 21:00:00,63.114.71.52,UK,London,Safari,success,0,normal,21,1,39600.0,0,7,0.0,0.0,0.0
10,1,2024-01-24 04:00:00,63.114.71.52,UK,London,Safari,success,0,normal,4,2,25200.0,0,8,0.0,0.0,0.0
11,1,2024-01-24 05:00:00,63.114.71.52,UK,Manchester,Safari,success,0,normal,5,2,3600.0,0,0,261.98280834296975,261.98280834296975,0.0
12,1,2024-01-24 13:00:00,63.114.71.52,UK,London,Safari,success,0,normal,13,2,28800.0,0,9,261.98280834296975,32.74785104287122,0.0
13,1,2024-01-24 22:00:00,63.114.71.52,UK,London,Safari,success,0,normal,22,2,32400.0,0,10,0.0,0.0,0.0
14,1,2024-01-25 01:00:00,63.114.71.52,UK,London,Safari,success,0,normal,1,3,10800.0,0,11,0.0,0.0,0.0
15,1,2024-01-25 12:00:00,63.114.71.52,UK,Manchester,Safari,success,0,normal,12,3,39600.0,0,1,261.98280834296975,23.816618940269976,0.0
16,1,2024-01-25 21:00:00,63.114.71.52,UK,London,Safari,success,0,normal,21,3,32400.0,0,12,261.98280834296975,29.10920092699664,0.0
17,1,2024-01-26 08:00:00,196.91.54.152,UK,London,Safari,success,0,normal,8,4,39600.0,0,13,0.0,0.0,1.0
18,1,2024-01-26 19:00:00,237.0.165.250,UK,London,Safari,success,0,normal,19,4,39600.0,0,14,0.0,0.0,2.0
19,1,2024-01-26 20:00:00,63.114.71.52,UK,London,Safari,success,0,normal,20,4,3600.0,0,15,0.0,0.0,3.0
20,1,2024-01-27 00:00:00,63.114.71.52,UK,London,Safari,success,0,normal,0,5,14400.0,0,16,0.0,0.0,3.0
21,1,2024-01-27 09:00:00,63.114.71.52,UK,London,Safari,success,0,normal,9,5,32400.0,0,17,0.0,0.0,3.0
22,1,2024-01-27 19:00:00,63.114.71.52,UK,London,Safari,success,0,normal,19,5,36000.0,0,18,0.0,0.0,2.0
23,1,2024-01-28 00:00:00,63.114.71.52,UK,London,Safari,success,0,normal,0,6,18000.0,0,19,0.0,0.0,1.0
24,1,2024-01-28 04:00:00,63.114.71.52,UK,London,Safari,success,0,normal,4,6,14400.0,0,20,0.0,0.0,0.0
25,1,2024-01-28 06:00:00,63.114.71.52,UK,London,Safari,success,0,normal,6,6,7200.0,0,21,0.0,0.0,0.0
26,1,2024-01-28 10:00:00,148.242.124.242,UK,London,Safari,success,0,normal,10,6,14400.0,0,22,0.0,0.0,1.0
27,1,2024-01-28 17:00:00,14.50.31.206,UK,Manchester,Safari,success,0,normal,17,6,25200.0,0,2,261.98280834296975,37.42611547756711,2.0
28,1,2024-01-29 05:00:00,63.114.71.52,UK,London,Safari,success,0,normal,5,0,43200.0,0,23,261.98280834296975,21.83190069524748,3.0
29,1,2024-01-29 12:00:00,63.114.71.52,UK,London,Chrome,success,0,normal,12,0,25200.0,0,24,0.0,0.0,3.0
30,1,2024-01-29 21:00:00,63.114.71.52,UK,London,Safari,success,0,normal,21,0,32400.0,0,25,0.0,0.0,3.0
