event_id,user_id,timestamp,ip_address,country,city,device_id,login_result,is_anomaly,anomaly_type,hour_of_day,day_of_week,time_since_last_login,new_device_flag,location_frequency,distance_from_last_login,travel_speed,ip_change_count,if_anomaly_flag,if_anomaly_score,km_distance,km_anomaly_flag,combined_anomaly_flag,rule_impossible_travel,rule_new_device_night,rule_ip_change,rule_rare_location,rule_alert
1,1,2024-01-21 11:00:00,63.114.71.52,UK,London,Chrome,success,0,normal,11,6,0.0,1,0,0.0,0.0,1.0,0,-0.0313150141752516,2.075377284715543,0,0,0,0,0,1,1
2,1,2024-01-21 20:00:00,63.114.71.52,UK,London,Safari,success,0,normal,20,6,32400.0,1,1,0.0,0.0,1.0,0,-0.0049033877953235,2.6599045954560583,0,0,0,0,0,0,0
3,1,2024-01-22 04:00:00,63.114.71.52,France,Lyon,Safari,success,0,normal,4,0,28800.0,0,0,735.0482559319656,91.8810319914957,1.0,0,-0.0762506145415178,2.3300965231896997,0,0,0,0,0,1,1
4,1,2024-01-22 10:00:00,63.114.71.52,UK,London,Safari,success,0,normal,10,0,21600.0,0,2,735.0482559319656,122.5080426553276,1.0,0,-0.1008315167766334,2.1612452763826315,0,0,0,0,0,0,0
5,1,2024-01-22 11:00:00,63.114.71.52,UK,London,Safari,success,0,normal,11,0,3600.0,0,3,0.0,0.0,1.0,0,-0.1191238060017939,2.0143447125007063,0,0,0,0,0,0,0
6,1,2024-01-22 22:00:00,63.114.71.52,UK,London,Safari,success,0,normal,22,0,39600.0,0,4,0.0,0.0,0.0,0,-0.0906826446274082,2.728132608077011,0,0,0,0,0,0,0
7,1,2024-01-23 02:00:00,63.114.71.52,UK,London,Safari,success,0,normal,2,1,14400.0,0,5,0.0,0.0,0.0,0,-0.1422602776804777,2.531165371108166,0,0,0,0,0,0,0
8,1,2024-01-23 10:00:00,63.114.71.52,UK,London,Safari,success,0,normal,10,1,28800.0,0,6,0.0,0.0,0.0,0,-0.1631259253987222,1.959566802488876,0,0,0,0,0,0,0
9,1,2024-01-23 21:00:00,63.114.71.52,UK,London,Safari,success,0,normal,21,1,39600.0,0,7,0.0,0.0,0.0,0,-0.1259424072679579,2.389852790604724,0,0,0,0,0,0,0
10,1,2024-01-24 04:00:00,63.114.71.52,UK,London,Safari,success,0,normal,4,2,25200.0,0,8,0.0,0.0,0.0,0,-0.1665175722476022,2.1446613114047928,0,0,0,0,0,0,0
11,1,2024-01-24 05:00:00,63.114.71.52,UK,Manchester,Safari,success,0,normal,5,2,3600.0,0,0,261.98280834296975,261.98280834296975,0.0,0,-0.0483472081576421,2.5923668266858626,0,0,0,0,0,1,1
12,1,2024-01-24 13:00:00,63.114.71.52,UK,London,Safari,success,0,normal,13,2,28800.0,0,9,261.98280834296975,32.74785104287122,0.0,0,-0.1559153246723308,1.7991876378935567,0,0,0,0,0,0,0
13,1,2024-01-24 22:00:00,63.114.71.52,UK,London,Safari,success,0,normal,22,2,32400.0,0,10,0.0,0.0,0.0,0,-0.1536502968706505,2.31093277936231,0,0,0,0,0,0,0
14,1,2024-01-25 01:00:00,63.114.71.52,UK,London,Safari,success,0,normal,1,3,10800.0,0,11,0.0,0.0,0.0,0,-0.1508276836257428,2.3427460989294357,0,0,0,0,0,0,0
15,1,2024-01-25 12:00:00,63.114.71.52,UK,Manchester,Safari,success,0,normal,12,3,39600.0,0,1,261.98280834296975,23.816618940269976,0.0,0,-0.1100860241151295,2.2630656279984467,0,0,0,0,0,0,0
